username,fullName,biography,followersCount,followsCount,postsCount,externalUrl,businessCategoryName,verified,private,isBusinessAccount,searchTerm,searchSource,source_file
resepmasakandiet_,Menu Diet Enak & Sehat,Follow @resepmasakandiet_  untuk mendapatkan inspirasi #menudietsehat dan #katalogkalori,305143.0,556.0,4204.0,,,False,False,False,Makanan diet sehat,threads,dataset_instagram-scraper_2026-09-17_02-56-06-387.csv
hi.almaidaz,ALMA | Tips diet | Makanan sehat,"‼️mantan obesitas 11 kg
🥗gosipin healthy lifestyle
🍱bantu genz diet sehat anti ribet
mulai perjalanan diet mu bareng aku di sini ⤵️",81235.0,1204.0,3184.0,https://lynk.id/almaidazzz,Health/beauty,False,False,False,Makanan diet sehat,threads,dataset_instagram-scraper_2026-09-17_02-56-06-387.csv
saladhut,Salad Hut | Online Delivery Healthy Food,"🌱 Healthy Bites, Just One-Tap Away👆📱🌯😋
🌯 Salad Bowl | Salad Wrap | Kebab
-
Big Order/Saran : WA Only☎️0811-1090-1090
-
👇Cobain deh Kebab nya👇",74354.0,18.0,1481.0,https://desty.page/saladhut,Salad Bar,True,False,True,Healthy food,threads,dataset_instagram-scraper_2026-09-17_02-51-33-223.csv
alamii.food,Healthy Snack Kids will Love,"🌈 For Generations of Happy & Healthy Kids!
🍯 All Natural Gummy @alamii.sweets 
🌻 Natural Ingredients
🌿 BPOM, Halal Certified
🔻",64460.0,7.0,942.0,https://linktr.ee/Alamii.Food,,False,False,True,Healthy food,threads,dataset_instagram-scraper_2026-09-17_02-51-33-223.csv
obabyhouse,Organic Baby Food Mpasi & Healthy Food,"🛒 Disc 22% all product jika cekout di WA👇
Whatsapp Order Admin 1 : 085777898368
Whatsapp Order Admin 2 : 085691864637
Since 2015",37255.0,158.0,6522.0,https://chat.whatsapp.com/DjKtXgBrNif5Jvm3H7qDYE?mode=ac_c,Baby goods/kids goods,False,False,True,Healthy food,threads,dataset_instagram-scraper_2026-09-17_02-51-33-223.csv
healthandyum.catering,KATERING DIET DAN MAKAN SEHAT BALIKPAPAN,"𝑷𝑬𝑴𝑬𝑺𝑨𝑵𝑨𝑵 𝑽𝑰𝑨 𝑫𝑴 𝑭𝑨𝑺𝑻 𝑹𝑬𝑺𝑷𝑶𝑵
𝑺𝒆𝒋𝒂𝒌 2015
𝑯𝒆𝒂𝒍𝒕𝒉𝒚 & 𝑫𝒊𝒆𝒕 𝑪𝒂𝒕𝒆𝒓𝒊𝒏𝒈
𝒘𝒆𝒊𝒈𝒉𝒕 𝑳𝒐𝒔𝒔, 𝒎𝒂𝒊𝒏𝒕𝒂𝒊𝒏 & 𝑫𝒆𝒕𝒐𝒙 𝑱𝒖𝒊𝒄𝒆
🏡 𝑩𝒂𝒍𝒊𝒌𝒑𝒂𝒑𝒂𝒏
𝑺𝑨𝑩𝑻𝑼, 𝑴𝑰𝑵𝑮𝑮𝑼, 𝑫𝑨𝑵 𝑯𝑨𝑹𝑰 𝑩𝑬𝑺𝑨𝑹 𝑳𝑰𝑩𝑼𝑹",35630.0,3935.0,2318.0,https://wa.me/6281953513829?countryName=ID&countryCode=62&phoneNumber=81953513829,,False,False,True,Makanan diet sehat,google,dataset_instagram-scraper_2026-09-17_02-56-06-387.csv
dietplus_id,Dietplus | Healthy food expert since 2014,"Every Bite Of Real Food Will Brings Healthy Change
Crafted by a Certified Australian Chef 
& 8 Certified Nutritionists
📍BDG I Halal | HACCP",26575.0,1255.0,709.0,https://dietplus.id/ig-home,,False,False,True,Healthy food,threads,dataset_instagram-scraper_2026-09-17_02-51-33-223.csv
makanansehatgiziseimbang,Makanan Sehat Dan Bergizi Seimbang,"Mari bersama-sama mengeksplorasi Dunia dengan Makanan Sehat Yang Lezat dan Bergizi Seimbang
👇Order Klik : bit.ly/sehatgizi 👇",20191.0,3.0,29.0,http://bit.ly/sehatgizi,Health/beauty,False,False,False,Gizi seimbang,facebook-ads,dataset_instagram-scraper_2026-09-17_02-57-02-251.csv
fitgourmet.jkt,FitGourmet Jakarta | Healthy Food & Catering,"Express Grab & GoFood Outlet :
📍 Kuningan
📍 Cilandak
🚚 JKT | TGR Free Delivery for Healthy Catering                              
☎️ 0852 8072 7991",19689.0,156.0,202.0,https://linktr.ee/fitgourmet.jakarta,Food & beverage,False,False,True,Healthy food,threads,dataset_instagram-scraper_2026-09-17_02-51-33-223.csv
makanandietharian,RESEP MASAKAN SEHAT,".
💓 Rahasia Diet 👉@langsingonline 👈
🍛 Berbagi Resep Masakan Lezat
🍜 Tempatnya Belajar Masak disini
𝙆𝙚𝙡𝙖𝙨 𝘿𝙞𝙚𝙩 𝘽𝘼𝙍𝙀𝙉𝙂 𝘿𝙊𝙆𝙏𝙀𝙍🥇
🌐 𝐃𝐚𝐟𝐭𝐚𝐫 𝐊𝐞𝐥𝐚𝐬𝐧𝐲𝐚, 𝐊𝐋𝐈𝐊👇",12570.0,5497.0,272.0,https://bit.ly/slimmarathon_id,,False,False,True,Makanan diet sehat,threads,dataset_instagram-scraper_2026-09-17_02-56-06-387.csv
liciouskitchen_official,Healthy Food for Daily Intake | Catering Surabaya,"Healthy Food for Daily Intake
fresh & personalized healthy meals 
Halal certified 
@liciouskitchen.kids for Kids 👧🏻",11486.0,238.0,768.0,https://linktr.ee/Liciouskitchen?utm_source=linktree_admin_share,Food & beverage,False,False,False,Healthy food,threads,dataset_instagram-scraper_2026-09-17_02-51-33-223.csv
healthydietcookies,keto healthy food,"Ketofood
Low carb
Sugar free
diet & diabetic friendly",9967.0,215.0,,https://msha.ke/jajanwithhdc,Digital creator,False,False,True,Healthy food,threads,dataset_instagram-scraper_2026-09-17_02-51-33-223.csv
adaberlcosmetic,B ERL COSMETICS jakarta timur,"B ERL COSMETICS X BERLANJA
🧕SEHAT • CANTIK • BAHAGIA❤️
🌿 SKINCARE & KOSMETIK B ERL
🙎 HALAL BPOM BUMILBUSUI AMAN
👇
👗@kebayacampeurnik",8164.0,649.0,1153.0,,Health/beauty,False,False,True,Bebas gula tanpa pemanis,google,dataset_instagram-scraper_2026-09-17_03-06-33-424.csv
say.healthyfood,HEALTHY FOOD | SALAD & JUICE LOMBOK,"SALAD & HEALTHY FOOD
100% Halal Certified
ᴀʟᴡᴀʏs ғʀᴇsʜ & ᴏᴘᴇɴ ᴇᴠᴇʀʏᴅᴀʏ 
🛵 : Grabfood | Gofood | Shopeefood
Opening Hours : 08.00 𝘢𝘮 - 09.30 𝘱𝘮",7222.0,143.0,147.0,https://wa.me/6281236391382?countryName=ID&countryCode=62&phoneNumber=81236391382,Entrepreneur,False,False,False,Healthy food,threads,dataset_instagram-scraper_2026-09-17_02-51-33-223.csv
nuihealthyfood,HEALTHY FOOD AND SALAD BAR,"Bali’s daily healthy protein food spot
🥗 Bowls·Wraps·Meal Plans·Smoothies
📍Jimbaran-Uluwatu-Kerobokan- Canggu-Denpasar-Ubud (soon)
👇 Order here",6874.0,1118.0,1289.0,https://linktr.ee/hellonuihealthyfood,Health Food Restaurant,False,False,True,Healthy food,threads,dataset_instagram-scraper_2026-09-17_02-51-33-223.csv
bela.healthy.food,Belaforma,"👩‍🍳Andrea💫 Personal Chef 
👩‍🍳Personalized Diet
🥗Home Made Food
Food Hygiene ⭐️⭐️⭐️⭐️⭐️",6173.0,2641.0,624.0,https://wa.me/message/NWJ2QJSEJUKRI1,Entrepreneur,False,False,True,Healthy food,google,dataset_instagram-scraper_2026-09-17_02-51-33-223.csv
filo_healthy,#1 CATERING MAKANAN & JUICE SEHAT & DIET BANJARMASIN,"LESS OIL • NO MSG • NO SUGAR • FULL PROTEIN 
⭐️ Eat Well, Live Well ⭐️
💯 HALAL
ORDER 👇👇👇",5247.0,2272.0,202.0,https://heylink.me/filohealthy/,Health Food Restaurant,False,False,True,Makanan diet sehat,threads,dataset_instagram-scraper_2026-09-17_02-56-06-387.csv
dietpraktis.ghi,Makanan Instan Sehat dan Bergizi,"Jaga pola makan sehat & penuhi asupan gizi ⭐️
🍽️ Praktis + tinggi protein
📌 HALAL 100%
📦 Pengiriman seluruh Indonesia
Order? 👇",3961.0,3.0,98.0,https://dietpraktis.com/link-bio/,,False,False,False,Makanan diet sehat,threads,dataset_instagram-scraper_2026-09-17_02-56-06-387.csv
ordersekarangyukk,Toko OSY | Makanan Sehat Khusus Diet & MPASI,"Toko Makanan Sehat Untuk Keluarga Anda | Order Produk Kami dibawah ini FREE ONGKIR!
⬇️⬇️",3615.0,78.0,76.0,https://s.shopee.co.id/8fISG4D6fY,Shopping & retail,False,False,True,Makanan diet sehat,threads,dataset_instagram-scraper_2026-09-17_02-56-06-387.csv
pawon.sobek_healthyfrozenfood,Nana|Share Resep Sehat| Produsen Makanan Diet Enak Sehat,"Bantu menyediakan makanan sesuai diet & pantangan-Enak Sehat Praktis,Gluten Free,Rendah Kalori,Tanpa Santan
Pesan Disini👇",2979.0,1961.0,1351.0,https://linktr.ee/PawonSobek,Digital creator,False,False,False,Makanan diet sehat,threads,dataset_instagram-scraper_2026-09-17_02-56-06-387.csv
catering_tigasaudara,CATERING GIZI SEIMBANG | CATERING HARIAN PALEMBANG,"CATERING SEHAT PILIHAN KELUARGA
POLA MAKAN SEHAT ALA NUSANTARA
PARTNERSHIP RedDoorz Palembang
Klik Link 👇untuk Komitmen sehatmu mulai hari ini",2173.0,205.0,1002.0,https://linktr.ee/Cateringtigasaudara,Caterer,False,False,True,Gizi seimbang,threads,dataset_instagram-scraper_2026-09-17_02-57-02-251.csv
_atikawanda,@Owner Mamikingkitchen,"mom of 4❣️ 
🌕Vietnamspringroll
🌕Hawaiianchicken
🌕Tortillachicken   
 🤍blog pribadi , life style, family content ,wa (085175312315)fast",2114.0,2393.0,71.0,,Personal blog,False,False,False,Makanan diet sehat,facebook-ads,dataset_instagram-scraper_2026-09-17_02-56-06-387.csv
ola_pgk,OLA,"Sehat itu Pola, Enak itu Selera
📍Jalan Stania, Bukit Baru",1351.0,149.0,75.0,https://wa.me/6282181661770,Smoothie & Juice Bar,False,False,True,Bebas gula tanpa pemanis,google,dataset_instagram-scraper_2026-09-17_03-06-33-424.csv
rmsehat,Rumah Makan Sehat,"🏡 Jalan Bandung No 45
      Pematangsiantar
☎ (0622) 21100 (FAST RESPONSE)
Whatsapp 087774566778 
🕙  10.00 - 20.30",1265.0,590.0,53.0,,Restaurants,False,False,True,Restoran Sehat,facebook-ads,dataset_instagram-scraper_2026-09-17_02-49-47-128.csv
lemonaoriginal_id,Lemona Original,"100 % Pure Lemon
◾Menurunkan Berat Badan
◾Membantu Menjaga Kesehatan, DLL
WA : 085314522841
Atau Klik Langsung Link WA bit.ly/Order-lemonaori",1023.0,6826.0,4.0,,Product/service,False,False,True,Bebas gula tanpa pemanis,google,dataset_instagram-scraper_2026-09-17_03-06-33-424.csv
novylestari_14,Novy Lestari,"🍃Yoga Instruktur otw 500 jam
👩🏻‍💼konsultan nutrisi 
👸🏻khusus wanita
🥦 #polahidupsehat
📩 Click WA👇🏻",993.0,402.0,1163.0,http://wa.me/628125537809,Coach,False,False,True,Makanan diet sehat,facebook-ads,dataset_instagram-scraper_2026-09-17_02-56-06-387.csv
healthyku_14,HealthyKu | Menu Makanan Diet Sehat,"💚 Menu Makanan Sehat & Diet Tanpa Sengsara!
🍏 Fresh, Natural & Homemade
🌿 Healthy & Tasty Meals
⬇️ Konsultasi & Order via DM/Chat ⬇️",978.0,713.0,30.0,https://wa.me/6288971674691,,False,False,True,Makanan diet sehat,google,dataset_instagram-scraper_2026-09-17_02-56-06-387.csv
ochickenindonesia,Restoran Sehat keluarga,"Organic Chicken adalah
Gerai ayam goreng dengan basis ayam organik herbal,halal, dan thoyyib.
www.ochicken.co.id",946.0,1149.0,147.0,,Product/service,False,False,True,Restoran Sehat,google,dataset_instagram-scraper_2026-09-17_02-49-47-128.csv
healthy_inmyway,Riya Singh | Nutrition & Wellness,"Clinical Dietitian and Food Technologist 
Certified Performance Sports Nutrition & Diabetes Educator
Making healthy living practical & personalized✨🥑🫒",926.0,17.0,7.0,,Dietician,False,False,False,Healthy food,threads,dataset_instagram-scraper_2026-09-17_02-51-33-223.csv
officialberkah.id,Healthy food Sampit,"🍱 Makanan Sehat | Restoran Sehat
❗️Turun Berat badan dengan Makan Sehat Dan Enak 
🍽 Bahan pembuatan @tropicanaslim 
📲 :  0858-4975-5171
Since : 2021",834.0,553.0,227.0,,Health/beauty,False,False,True,Restoran Sehat,google,dataset_instagram-scraper_2026-09-17_02-37-22-191.csv
saladbarid,Salad Bar Indonesia,"Healthy food for Healthy body 💪
📲 Available in Gojek
📍The EAST tower. Jl. DR. Ide Anak Agung Gde Agung kav.E3.2 No.1.  Jakarta 12950",803.0,168.0,237.0,http://www.saladbarid.com/,,False,False,False,Salad bar Indonesia,google,dataset_instagram-scraper_2026-09-17_03-04-04-919.csv
emmastore.official,EMMA STORE PERSONAL SHOPPER,"Open Jastip
PO Korea 13-26 April 2026
Toys Kingdom Sale 16Apr-23 Mei
Imoby 1-3 Mei 2026
📍Jakarta
Hand Carry, Authentic, ORIGINAL 💯",694.0,10.0,213.0,https://chat.whatsapp.com/D6HCjyYWZpa9hTS8c0MpMB,Brand,False,False,True,Bebas gula tanpa pemanis,google,dataset_instagram-scraper_2026-09-17_03-06-33-424.csv
makanandetox,Kesehatan & Kecantikan,Produk Klik 👇,508.0,182.0,110.0,https://shope.ee/6KVFs9dh22,Health/beauty,False,False,True,Makanan diet sehat,facebook-ads,dataset_instagram-scraper_2026-09-17_02-56-06-387.csv
cateringsehatbtp,Catering Sehat BTP. Makanan Sehat . Precision Healthful Diet .,"Pilihan tepat diet sehat di Makassar.
Porsi presisi pas, fresh, harga ramah di kantong
Bekerja sama dengan Dokter Spesialis Gizi
order via WA👇🏻👇🏻",145.0,18.0,46.0,https://cateringsehatbtp.com,Caterer,False,False,True,Makanan diet sehat,threads,dataset_instagram-scraper_2026-09-17_02-56-06-387.csv
southernglosunless,"SPRAY TANNING | BAUXITE, AR","📍The Bauxite Depot in Bauxite, Arkansas 
  •Custom spray tanning 
  •Contour Tanning
  •Bridal & Events 
  👇🏼Book your Gorgeous Glo below!",127.0,78.0,27.0,http://southernglosunless.com,Tanning Salon,False,False,True,Salad bar Indonesia,google,dataset_instagram-scraper_2026-09-17_03-04-04-919.csv
hauradesta.id,herbal lebah sari bumi,"Herbal - Fashion - Accecories
Trust online shop 
🏧 BCA, BRI, MANDIRI, BNI
🚚 JNT, JNE, SICEPAT, TIKI, POS dll
☎️ 0⃣8⃣2⃣2⃣9⃣8⃣7⃣7⃣7⃣7⃣3⃣1⃣
📞 WA ⤵️⤵️⤵️",98.0,237.0,40.0,http://wa.me/6282298777731,,False,False,False,Bebas gula tanpa pemanis,google,dataset_instagram-scraper_2026-09-17_03-06-33-424.csv
fresh.healthy.food.bali,Fresh Healthy Foods,"Our Company Health Society Bali produce Free Range Eggs in Innovative Farm in Bedugul, BALI
📍 Store : Jln Raya Pejeng,Gianyar
📞+6282340209409",55.0,5.0,23.0,https://maps.app.goo.gl/mkoUL3zeffx55GYbA?g_st=ac,,False,False,False,Healthy food,google,dataset_instagram-scraper_2026-09-17_02-51-33-223.csv
asa.jiva,🍋 LEMONA 🍋 100% PURE LEMON 🍋,"Wa.me/6282135559964
Tokopedia : https://www.tokopedia.com/asajiva
WA: +6282135559964",45.0,278.0,18.0,,Health/beauty,False,False,True,Bebas gula tanpa pemanis,google,dataset_instagram-scraper_2026-09-17_03-06-33-424.csv
gizi_bagus,gizi seimbang,,33.0,616.0,0.0,,,False,False,False,Gizi seimbang,threads,dataset_instagram-scraper_2026-09-17_02-57-02-251.csv
dapursehat_giziseimbang,Dapur  Sehat Gizi Seimbang,Dapur Sehat dan Gizi Seimbang,7.0,6.0,1.0,,,False,False,False,Gizi seimbang,threads,dataset_instagram-scraper_2026-09-17_02-57-02-251.csv
